Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.613,1.29,2.092,0.5747,0.1503,0.8352,-5.076,1
1.928,1.28,2.336,0.6719,0.1878,0.8962,-3.4,1
1.643,1.14,1.638,0.581,0.1698,0.8839,-2.628,1
1.698,1.29,1.663,0.5687,0.1696,0.8874,-2.267,1
1.605,1.3,1.929,0.5787,0.1701,0.8855,-2.522,1
2.069,1.28,1.602,0.5918,0.1711,0.8826,-2.805,1
2.567,1.3,1.656,0.7051,0.1974,0.9045,-3.25,1
1.64,1.27,1.639,0.5852,0.1655,0.87,-3.264,1
2.111,1.14,1.739,0.5752,0.1714,0.8907,-2.278,1
1.625,1.27,1.864,0.5763,0.1632,0.8676,-3.259,1
1.638,1.28,1.628,0.5858,0.1654,0.8698,-3.296,1
1.976,1.14,1.547,0.5711,0.168,0.881,-2.489,1
1.862,1.3,1.522,0.5728,0.1707,0.8888,-2.269,1
1.375,1.29,1.777,0.5764,0.1707,0.8866,-2.35,1
1.758,1.3,1.624,0.5827,0.1719,0.8873,-2.4,1
1.868,1.27,2.36,0.698,0.1963,0.9045,-3.149,1
1.977,1.28,1.691,0.6128,0.1762,0.8876,-2.821,1
1.759,1.28,1.639,0.5726,0.1659,0.8746,-2.783,1
1.609,1.14,2.101,0.5745,0.1681,0.8785,-2.54,1
1.77,1.28,1.518,0.6031,0.1742,0.8857,-2.745,1
1.698,1.28,2.547,0.6752,0.189,0.898,-3.374,1
1.697,1.29,1.569,0.5838,0.1678,0.8765,-2.936,1
1.659,1.3,1.914,0.5944,0.174,0.8891,-2.536,1
1.666,1.29,2.105,0.6168,0.1705,0.869,-3.588,1
2.068,1.14,1.816,0.6145,0.1795,0.8994,-2.634,1
1.853,1.27,1.435,0.5789,0.1601,0.854,-3.627,1
2.101,1.29,1.624,0.5875,0.1701,0.8787,-2.681,1
1.641,1.3,1.405,0.5917,0.1735,0.8896,-2.528,1
1.541,1.28,1.665,0.5904,0.1736,0.89,-2.467,1
1.52,1.3,1.562,0.5723,0.1708,0.8891,-2.246,1
1.703,1.3,1.973,0.5827,0.1726,0.8896,-2.344,1
1.808,1.3,1.68,0.5785,0.1703,0.8844,-2.461,1
1.707,1.14,2.293,0.6132,0.1752,0.8853,-2.975,1
1.536,1.29,1.88,0.5767,0.1717,0.8897,-2.268,1
1.628,1.12,1.666,0.5494,0.1636,0.8759,-2.3,1
1.729,1.27,1.586,0.5776,0.1629,0.8664,-3.346,1
2.011,1.27,1.608,0.5895,0.174,0.8924,-2.425,1
1.593,1.28,1.928,0.5691,0.1688,0.8838,-2.34,1
1.585,1.3,1.931,0.5802,0.1727,0.8911,-2.262,1
1.958,1.29,1.707,0.6155,0.1797,0.8978,-2.573,1
1.53,1.28,1.763,0.5896,0.1664,0.8699,-3.273,1
2.09,1.14,1.716,0.5757,0.1718,0.8923,-2.259,1
1.661,1.28,2.062,0.5888,0.1721,0.8864,-2.583,1
1.812,1.28,1.52,0.5752,0.1685,0.8805,-2.556,1
1.969,1.3,1.714,0.5815,0.1721,0.889,-2.36,1
1.619,1.3,1.635,0.5854,0.1665,0.8727,-3.141,1
1.428,1.28,1.735,0.5604,0.1675,0.8819,-2.167,1
1.761,1.14,1.601,0.5727,0.1676,0.8768,-2.492,1
2.085,1.28,1.696,0.5814,0.1647,0.8664,-3.153,1
1.553,1.27,1.794,0.5994,0.1753,0.8923,-2.583,1
2.098,1.14,1.651,0.587,0.1727,0.8897,-2.5,1
1.675,1.28,1.79,0.5612,0.166,0.879,-2.418,1
1.95,1.27,1.674,0.5893,0.1665,0.8707,-3.26,1
2.284,1.28,1.7,0.5986,0.1766,0.8961,-2.421,1
1.89,1.3,1.601,0.575,0.1703,0.887,-2.375,1
1.782,1.27,1.584,0.5715,0.164,0.8699,-2.981,1
1.931,1.28,1.538,0.5971,0.1681,0.869,-3.208,1
1.542,1.3,1.489,0.5774,0.1689,0.8821,-2.615,1
1.525,1.28,1.953,0.5827,0.1634,0.8636,-3.394,1
1.853,1.3,1.758,0.5702,0.1698,0.887,-2.286,1
1.659,1.3,1.902,0.596,0.1739,0.8895,-2.625,1
1.834,1.3,1.601,0.5998,0.1695,0.8744,-3.207,1
1.647,1.14,2.096,0.5817,0.1701,0.8842,-2.622,1
2.094,1.3,1.727,0.5873,0.1745,0.895,-2.313,1
2.106,1.29,1.762,0.5875,0.1744,0.8945,-2.331,1
1.505,1.14,2.004,0.5806,0.1719,0.8878,-2.326,1
1.7,1.28,1.558,0.6186,0.1772,0.8879,-2.894,1
