 Length, Height, Width, Linearity, Verticality, Class
1.619,1.22,1.479,-0.1447,0.8395,1
1.204,1.09,1.693,-0.4982,0.8257,1
1.34,1.22,1.834,-0.7172,0.9146,1
1.364,1.12,1.661,-0.8495,0.9165,1
1.45,1.18,1.944,-1.381,0.9186,1
2.448,1.09,1.6,-1.036,0.9147,1
1.912,1.09,1.251,-1.15,0.9246,1
1.457,1.23,1.767,-1.039,0.9575,1
1.24,1.09,1.856,-1.229,0.949,1
2.214,1.22,1.662,-1.08,0.9108,1
2.484,1.22,1.696,-1.205,0.9054,1
1.925,1.1,1.65,-1.239,0.9101,1
1.957,1.08,1.55,-0.7776,0.9163,1
2.46,1.08,1.601,-1.151,0.9164,1
1.945,1.09,1.344,-0.8684,0.9419,1
1.682,1.22,2.533,-1.229,0.9047,1
1.317,1.1,1.961,-0.8161,0.9353,1
1.945,1.09,1.827,-1.215,0.9283,1
2.368,1.09,1.607,-1.079,0.9015,1
2.487,1.21,1.639,-1.272,0.9296,1
1.781,1.22,2.526,-1.177,0.8954,1
1.879,1.09,2.254,-1.092,0.8972,1
2.297,1.24,1.646,-1.198,0.8957,1
1.769,1.1,1.63,-0.9701,0.9112,1
2.045,1.22,1.882,-1.138,0.8974,1
1.727,1.09,1.591,-1.012,0.9412,1
2.207,1.23,1.676,-1.266,0.9102,1
1.272,1.08,1.718,-0.9512,0.9383,1
1.807,1.09,1.811,-1.281,0.9345,1
2.511,1.23,1.694,-1.264,0.9122,1
1.568,1.09,1.66,-0.8547,0.9326,1
1.984,1.22,2.02,-1.132,0.9115,1
2.43,1.09,1.906,-1.431,0.9188,1
1.932,1.08,1.573,-0.9743,0.9327,1
1.542,1.09,2.504,-1.292,0.9168,1
1.755,1.09,1.682,-1.139,0.9132,1
1.737,1.09,1.623,-0.7163,0.8951,1
1.858,1.08,1.195,-0.8366,0.9297,1
1.635,1.08,1.413,-0.8349,0.9317,1
1.502,1.09,1.809,-1.292,0.9639,1
2.53,1.23,1.742,-1.246,0.8957,1
1.373,1.09,1.984,-0.7294,0.8896,1
1.394,1.09,2.47,-0.4769,0.9322,1
1.608,1.08,1.839,-0.9268,0.9366,1
1.271,1.1,1.676,-1.077,0.9179,1
1.581,1.22,1.651,-0.6242,0.9332,1
2.471,1.22,1.689,-1.206,0.9141,1
1.42,1.09,1.898,-1.179,0.9221,1
2.249,1.09,1.74,-1.249,0.8966,1
1.593,1.09,1.774,-1.31,0.9392,1
1.639,1.24,2.161,-1.122,0.8925,1
1.706,1.08,1.335,-0.795,0.9316,1
2.011,1.09,1.896,-1.329,0.8947,1
