 Omnivariance, Eigenentropy, Anisotropy, Linearity, Surface Variation, Class
0.1064,0.7165,-3.033,-0.1447,0.6529,1
0.1165,0.7509,-2.869,-0.4982,0.6077,1
0.1393,0.8134,-2.85,-0.7172,0.5862,1
0.131,0.7906,-3.461,-0.8495,0.6102,1
0.1353,0.804,-4.02,-1.381,0.5975,1
0.157,0.8402,-4.007,-1.036,0.6225,1
0.1314,0.7945,-3.639,-1.15,0.5956,1
0.1418,0.8201,-3.285,-1.039,0.585,1
0.1326,0.7971,-3.841,-1.229,0.5998,1
0.1621,0.8578,-3.496,-1.08,0.5934,1
0.1667,0.8647,-3.688,-1.205,0.5939,1
0.1213,0.7664,-4.305,-1.239,0.6209,1
0.1286,0.7834,-3.453,-0.7776,0.6159,1
0.1525,0.8302,-4.344,-1.151,0.6291,1
0.1303,0.7887,-3.506,-0.8684,0.611,1
0.1624,0.8535,-3.992,-1.229,0.6072,1
0.1304,0.7879,-3.535,-0.8161,0.6169,1
0.1338,0.8003,-3.763,-1.215,0.597,1
0.1598,0.843,-4.167,-1.079,0.6266,1
0.1631,0.854,-4.086,-1.272,0.6085,1
0.1672,0.8595,-3.999,-1.177,0.6114,1
0.1602,0.8437,-4.184,-1.092,0.6264,1
0.1654,0.8606,-3.797,-1.198,0.6,1
0.1247,0.7736,-3.915,-0.9701,0.6233,1
0.166,0.8575,-3.958,-1.138,0.6124,1
0.1272,0.7824,-3.625,-1.012,0.6056,1
0.1609,0.855,-3.787,-1.266,0.5945,1
0.1279,0.784,-3.52,-0.9512,0.605,1
0.131,0.7924,-4.059,-1.281,0.6066,1
0.1657,0.8606,-3.915,-1.264,0.6009,1
0.1284,0.7848,-3.367,-0.8547,0.6047,1
0.1626,0.8549,-3.792,-1.132,0.6047,1
0.1525,0.8358,-4.36,-1.431,0.6097,1
0.1286,0.7844,-3.759,-0.9743,0.6154,1
0.1563,0.8396,-4.344,-1.292,0.6188,1
0.133,0.7965,-3.857,-1.139,0.6074,1
0.132,0.7914,-3.381,-0.7163,0.6173,1
0.1299,0.7881,-3.393,-0.8366,0.6076,1
0.1294,0.788,-3.245,-0.8349,0.5996,1
0.1312,0.7941,-3.883,-1.292,0.5973,1
0.1622,0.8522,-4.077,-1.246,0.61,1
0.1291,0.7844,-3.397,-0.7294,0.617,1
0.128,0.7511,-5.538,-0.4769,0.7253,1
0.1266,0.7797,-3.598,-0.9268,0.6111,1
0.1232,0.7708,-3.961,-1.077,0.6172,1
0.1363,0.8049,-2.848,-0.6242,0.5946,1
0.1652,0.8576,-3.97,-1.206,0.6079,1
0.1371,0.8051,-4.001,-1.179,0.6114,1
0.1471,0.8235,-4.289,-1.249,0.6195,1
0.1323,0.7969,-3.902,-1.31,0.5969,1
0.168,0.8661,-3.623,-1.122,0.5969,1
0.1296,0.788,-3.223,-0.795,0.6017,1
0.1478,0.8226,-4.592,-1.329,0.6269,1
0.1622,0.8571,-3.721,-1.212,0.5951,1
0.1709,0.8663,-4.005,-1.253,0.6061,1
0.143,0.8125,-4.681,-1.316,0.6314,1
0.1652,0.8602,-3.723,-1.132,0.6013,1
0.1303,0.7877,-3.338,-0.7203,0.6146,1
0.1309,0.7893,-3.378,-0.7469,0.6145,1
0.1632,0.8581,-3.813,-1.254,0.5967,1
0.1644,0.8587,-3.612,-1.037,0.603,1
0.1641,0.8592,-3.771,-1.202,0.5984,1
0.1301,0.7903,-3.828,-1.161,0.6044,1
0.1486,0.8279,-3.759,-0.9933,0.6139,1
0.1379,0.8113,-3.417,-1.141,0.5844,1
0.1381,0.8097,-2.904,-0.6856,0.5924,1
0.1386,0.8118,-3.426,-1.059,0.5913,1
0.1298,0.7887,-3.205,-0.7927,0.6009,1
0.1634,0.8607,-3.565,-1.176,0.5897,1
0.1319,0.7953,-4.104,-1.362,0.6029,1
0.1653,0.8609,-3.678,-1.117,0.6001,1
0.1665,0.8582,-3.982,-1.158,0.612,1
0.1308,0.7914,-3.22,-0.8143,0.5999,1
0.1393,0.8142,-3.192,-0.9728,0.5851,1
0.152,0.8324,-3.948,-1.033,0.62,1
0.1661,0.8587,-3.884,-1.129,0.6095,1
0.1673,0.8635,-3.79,-1.186,0.6006,1
0.1285,0.7854,-3.554,-0.9644,0.6057,1
0.1564,0.8393,-4.35,-1.274,0.6204,1
0.1325,0.7981,-3.725,-1.264,0.5914,1
0.1283,0.7831,-3.205,-0.6706,0.6116,1
0.1628,0.8606,-3.445,-1.12,0.5876,1
0.1292,0.7869,-3.134,-0.735,0.6018,1
0.1283,0.784,-3.445,-0.8541,0.609,1
0.1615,0.851,-3.8,-1.039,0.6124,1
0.1302,0.7886,-3.35,-0.8037,0.6081,1
0.1291,0.7871,-3.54,-0.973,0.6043,1
0.1554,0.8367,-4.025,-1.017,0.6248,1
0.1396,0.8154,-2.954,-0.853,0.5809,1
0.1642,0.8602,-3.773,-1.243,0.5954,1
0.1315,0.791,-3.286,-0.7166,0.6121,1
0.1654,0.8596,-3.93,-1.255,0.6024,1
0.1551,0.8376,-4.127,-1.142,0.62,1
0.1414,0.8199,-2.868,-0.8289,0.5776,1
0.1583,0.8432,-4.393,-1.339,0.6176,1
0.1307,0.7898,-3.402,-0.8271,0.6089,1
0.1455,0.8291,-3.24,-1.085,0.5789,1
0.1554,0.8425,-4.048,-1.296,0.605,1
0.1348,0.8019,-3.785,-1.187,0.6003,1
0.1418,0.8211,-2.759,-0.7785,0.575,1
0.1497,0.8264,-4.323,-1.178,0.6262,1
0.1705,0.8654,-3.769,-1.051,0.6098,1
0.1505,0.8294,-4.227,-1.194,0.6207,1
0.1602,0.8439,-4.19,-1.102,0.6259,1
0.1661,0.8568,-4.074,-1.187,0.6142,1
0.1317,0.7925,-3.357,-0.8147,0.6075,1
0.121,0.765,-4.185,-1.151,0.622,1
0.1297,0.7877,-3.316,-0.8074,0.6059,1
0.1637,0.8556,-3.859,-1.13,0.6082,1
0.1358,0.8054,-3.47,-1.086,0.5916,1
0.123,0.77,-3.79,-0.9655,0.6176,1
0.1475,0.8242,-3.947,-1.031,0.6201,1
0.1553,0.8417,-4.159,-1.352,0.6061,1
0.1644,0.8576,-3.896,-1.203,0.6045,1
0.1575,0.8378,-4.398,-1.168,0.6301,1
0.1189,0.7598,-4.436,-1.27,0.6244,1
0.1544,0.8344,-4.269,-1.144,0.6263,1
0.1681,0.8675,-3.565,-1.13,0.5932,1
0.1322,0.7962,-4.049,-1.34,0.6018,1
0.1275,0.7828,-3.618,-0.9913,0.6069,1
0.1503,0.8265,-4.314,-1.138,0.6288,1
0.1321,0.7949,-3.619,-1.048,0.6025,1
0.1623,0.8457,-4.281,-1.115,0.629,1
0.1649,0.859,-3.852,-1.198,0.6027,1
0.1606,0.8461,-4.322,-1.264,0.6198,1
0.1642,0.8639,-3.267,-1.022,0.5854,1
0.1283,0.7841,-3.515,-0.8914,0.6096,1
0.1503,0.8317,-3.641,-0.9416,0.6121,1
0.1671,0.8615,-3.719,-1.054,0.6071,1
0.1425,0.8206,-3.045,-0.8278,0.5886,1
0.1428,0.8221,-3.328,-1.055,0.5862,1
0.131,0.7905,-3.471,-0.8512,0.6106,1
0.1677,0.8661,-3.518,-1.06,0.5962,1
0.1534,0.8364,-4.533,-1.503,0.6123,1
0.1288,0.7847,-3.517,-0.8489,0.6132,1
0.1252,0.7771,-3.825,-1.092,0.6094,1
0.1606,0.8471,-4.267,-1.264,0.6174,1
0.1521,0.8328,-4.07,-1.116,0.6194,1
0.1391,0.8144,-3.321,-1.095,0.5827,1
0.1328,0.7955,-3.161,-0.7294,0.6039,1
0.1598,0.848,-4.026,-1.194,0.6115,1
0.1437,0.8239,-3.075,-0.8894,0.5851,1
0.1394,0.8142,-3.1,-0.9094,0.5849,1
0.1669,0.8641,-3.562,-1.061,0.5984,1
0.1431,0.823,-3.263,-1.04,0.5838,1
0.1363,0.8054,-3.872,-1.231,0.6013,1
0.1424,0.8216,-2.98,-0.8572,0.5821,1
0.1438,0.8239,-2.805,-0.6991,0.585,1
0.1424,0.8194,-3.008,-0.7387,0.5941,1
0.1271,0.7533,-5.288,-0.4839,0.7168,1
0.1658,0.859,-3.974,-1.23,0.6063,1
0.1397,0.8148,-3.121,-0.9117,0.586,1
0.1288,0.7845,-3.41,-0.7844,0.613,1
0.09876,0.6907,-3.907,-0.2039,0.6901,1
0.08853,0.6587,-4.997,-0.5188,0.7042,1
0.08177,0.6365,-5.484,-0.7172,0.7047,1
0.07787,0.6258,-6.502,-1.17,0.7029,1
0.09124,0.6636,-8.936,-1.068,0.7641,1
0.0733,0.6188,-17.14,-2.714,0.7938,1
0.06103,0.599,-32.12,-6.269,0.8002,1
0.04982,0.5722,-43.78,-9.504,0.7956,1
0.2082,0.8718,-4.619,-0.9798,0.6535,1
0.2344,0.9078,-4.415,-1.477,0.609,1
0.2443,0.942,-3.767,-1.802,0.5563,1
0.2611,0.9668,-3.138,-1.764,0.5236,1
0.1931,0.9297,-2.107,-0.9891,0.5097,1
0.2329,0.9654,-2.776,-1.987,0.4864,1
0.2114,0.9404,-3.187,-2.068,0.5072,1
0.1869,0.888,-4.273,-1.593,0.5947,1
0.127,0.7269,-7.343,-0.5927,0.7629,1
0.1362,0.7634,-6.14,-0.7189,0.7242,1
0.1489,0.7722,-5.084,-0.1989,0.7345,1
0.156,0.7841,-4.691,-0.1286,0.7278,1
0.1525,0.7593,-6.306,-0.4314,0.7503,1
0.1604,0.7559,-6.536,-0.4342,0.7559,1
0.1613,0.743,-6.452,-0.2646,0.7669,1
0.1831,0.7476,-6.321,-0.3058,0.7605,1
0.1799,0.6948,-7.706,-0.3389,0.7882,1
0.2012,0.6544,-7.902,-0.3257,0.7929,1
0.2055,0.5967,-8.439,-0.2372,0.8084,1
0.195,0.5345,-10.98,-0.4741,0.8289,1
0.2116,0.4409,-11.61,-0.4525,0.8372,1
0.2221,0.237,-13.64,-0.3763,0.8604,1
0.1382,0.8122,-3.078,-0.9499,0.5803,1
0.1656,0.8565,-4.039,-1.178,0.6132,1
0.1293,0.7855,-3.602,-0.8672,0.6161,1
0.1254,0.7457,-5.711,-0.5162,0.7273,1
0.1544,0.8404,-4.005,-1.25,0.6063,1
0.1277,0.7831,-3.512,-0.9286,0.6064,1
0.1216,0.7675,-4.103,-1.178,0.6162,1
0.1304,0.7924,-3.95,-1.333,0.5976,1
