 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Surface Variation, Verticality, Class
1.619,1.22,1.479,0.3947,0.1064,0.7165,0.6529,0.8395,1
1.204,1.09,1.693,0.413,0.1165,0.7509,0.6077,0.8257,1
1.34,1.22,1.834,0.4872,0.1393,0.8134,0.5862,0.9146,1
1.364,1.12,1.661,0.4741,0.131,0.7906,0.6102,0.9165,1
1.45,1.18,1.944,0.4972,0.1353,0.804,0.5975,0.9186,1
2.448,1.09,1.6,0.5824,0.157,0.8402,0.6225,0.9147,1
1.912,1.09,1.251,0.4754,0.1314,0.7945,0.5956,0.9246,1
1.457,1.23,1.767,0.5043,0.1418,0.8201,0.585,0.9575,1
1.24,1.09,1.856,0.4843,0.1326,0.7971,0.5998,0.949,1
2.214,1.22,1.662,0.5828,0.1621,0.8578,0.5934,0.9108,1
2.484,1.22,1.696,0.6041,0.1667,0.8647,0.5939,0.9054,1
1.925,1.1,1.65,0.4544,0.1213,0.7664,0.6209,0.9101,1
1.957,1.08,1.55,0.4664,0.1286,0.7834,0.6159,0.9163,1
2.46,1.08,1.601,0.5739,0.1525,0.8302,0.6291,0.9164,1
1.945,1.09,1.344,0.4722,0.1303,0.7887,0.611,0.9419,1
1.682,1.22,2.533,0.5982,0.1624,0.8535,0.6072,0.9047,1
1.317,1.1,1.961,0.4747,0.1304,0.7879,0.6169,0.9353,1
1.945,1.09,1.827,0.4868,0.1338,0.8003,0.597,0.9283,1
2.368,1.09,1.607,0.5971,0.1598,0.843,0.6266,0.9015,1
2.487,1.21,1.639,0.6031,0.1631,0.854,0.6085,0.9296,1
1.781,1.22,2.526,0.6169,0.1672,0.8595,0.6114,0.8954,1
1.879,1.09,2.254,0.599,0.1602,0.8437,0.6264,0.8972,1
2.297,1.24,1.646,0.6029,0.1654,0.8606,0.6,0.8957,1
1.769,1.1,1.63,0.4615,0.1247,0.7736,0.6233,0.9112,1
2.045,1.22,1.882,0.6117,0.166,0.8575,0.6124,0.8974,1
1.727,1.09,1.591,0.462,0.1272,0.7824,0.6056,0.9412,1
2.207,1.23,1.676,0.5855,0.1609,0.855,0.5945,0.9102,1
1.272,1.08,1.718,0.4626,0.1279,0.784,0.605,0.9383,1
1.807,1.09,1.811,0.4835,0.131,0.7924,0.6066,0.9345,1
2.511,1.23,1.694,0.607,0.1657,0.8606,0.6009,0.9122,1
1.568,1.09,1.66,0.4616,0.1284,0.7848,0.6047,0.9326,1
1.984,1.22,2.02,0.5938,0.1626,0.8549,0.6047,0.9115,1
2.43,1.09,1.906,0.5698,0.1525,0.8358,0.6097,0.9188,1
1.932,1.08,1.573,0.4715,0.1286,0.7844,0.6154,0.9327,1
1.542,1.09,2.504,0.5854,0.1563,0.8396,0.6188,0.9168,1
1.755,1.09,1.682,0.4874,0.133,0.7965,0.6074,0.9132,1
1.737,1.09,1.623,0.4782,0.132,0.7914,0.6173,0.8951,1
1.858,1.08,1.195,0.4681,0.1299,0.7881,0.6076,0.9297,1
1.635,1.08,1.413,0.4622,0.1294,0.788,0.5996,0.9317,1
1.502,1.09,1.809,0.4794,0.1312,0.7941,0.5973,0.9639,1
2.53,1.23,1.742,0.5999,0.1622,0.8522,0.61,0.8957,1
1.373,1.09,1.984,0.4678,0.1291,0.7844,0.617,0.8896,1
1.394,1.09,2.47,0.542,0.128,0.7511,0.7253,0.9322,1
1.608,1.08,1.839,0.4603,0.1266,0.7797,0.6111,0.9366,1
1.271,1.1,1.676,0.4549,0.1232,0.7708,0.6172,0.9179,1
1.581,1.22,1.651,0.4788,0.1363,0.8049,0.5946,0.9332,1
2.471,1.22,1.689,0.6079,0.1652,0.8576,0.6079,0.9141,1
1.42,1.09,1.898,0.5058,0.1371,0.8051,0.6114,0.9221,1
2.249,1.09,1.74,0.5503,0.1471,0.8235,0.6195,0.8966,1
1.593,1.09,1.774,0.4838,0.1323,0.7969,0.5969,0.9392,1
1.639,1.24,2.161,0.6078,0.168,0.8661,0.5969,0.8925,1
1.706,1.08,1.335,0.463,0.1296,0.788,0.6017,0.9316,1
2.011,1.09,1.896,0.5606,0.1478,0.8226,0.6269,0.8947,1
2.518,1.22,1.735,0.5888,0.1622,0.8571,0.5951,0.9178,1
2.431,1.31,1.697,0.6294,0.1709,0.8663,0.6061,0.8746,1
2.178,1.1,1.784,0.545,0.143,0.8125,0.6314,0.8925,1
1.627,1.22,2.198,0.6008,0.1652,0.8602,0.6013,0.9119,1
1.246,1.09,1.81,0.4705,0.1303,0.7877,0.6146,0.902,1
1.761,1.09,1.587,0.4734,0.1309,0.7893,0.6145,0.907,1
2.433,1.22,1.69,0.5948,0.1632,0.8581,0.5967,0.9127,1
2.487,1.24,1.653,0.5959,0.1644,0.8587,0.603,0.9018,1
2.268,1.22,1.811,0.5974,0.1641,0.8592,0.5984,0.8974,1
1.884,1.08,1.749,0.4758,0.1301,0.7903,0.6044,0.9001,1
2.307,1.08,1.6,0.5442,0.1486,0.8279,0.6139,0.9089,1
1.858,1.22,1.403,0.4927,0.1379,0.8113,0.5844,0.9398,1
1.528,1.22,1.6,0.4856,0.1381,0.8097,0.5924,0.9383,1
1.665,1.22,1.799,0.4967,0.1386,0.8118,0.5913,0.9494,1
1.934,1.08,1.559,0.4633,0.1298,0.7887,0.6009,0.9334,1
2.324,1.22,1.676,0.5883,0.1634,0.8607,0.5897,0.9033,1
1.85,1.09,1.319,0.487,0.1319,0.7953,0.6029,0.953,1
2.164,1.22,1.679,0.6001,0.1653,0.8609,0.6001,0.9105,1
2.472,1.22,1.705,0.6139,0.1665,0.8582,0.612,0.894,1
1.937,1.08,1.54,0.4669,0.1308,0.7914,0.5999,0.9523,1
1.712,1.22,1.749,0.4936,0.1393,0.8142,0.5851,0.9322,1
2.509,1.09,1.587,0.5618,0.152,0.8324,0.62,0.9293,1
2.4,1.24,1.643,0.6097,0.1661,0.8587,0.6095,0.891,1
1.667,1.23,2.394,0.6099,0.1673,0.8635,0.6006,0.9228,1
1.967,1.08,1.518,0.4655,0.1285,0.7854,0.6057,0.9577,1
1.609,1.1,2.237,0.5865,0.1564,0.8393,0.6204,0.8921,1
1.875,1.09,1.907,0.4805,0.1325,0.7981,0.5914,0.9414,1
