 Height, Width, Verticality, Class
1.22,1.479,0.8395,1
1.09,1.693,0.8257,1
1.22,1.834,0.9146,1
1.12,1.661,0.9165,1
1.18,1.944,0.9186,1
1.09,1.6,0.9147,1
1.09,1.251,0.9246,1
1.23,1.767,0.9575,1
1.09,1.856,0.949,1
1.22,1.662,0.9108,1
1.22,1.696,0.9054,1
1.1,1.65,0.9101,1
1.08,1.55,0.9163,1
1.08,1.601,0.9164,1
1.09,1.344,0.9419,1
1.22,2.533,0.9047,1
1.1,1.961,0.9353,1
1.09,1.827,0.9283,1
1.09,1.607,0.9015,1
1.21,1.639,0.9296,1
1.22,2.526,0.8954,1
1.09,2.254,0.8972,1
1.24,1.646,0.8957,1
1.1,1.63,0.9112,1
1.22,1.882,0.8974,1
1.09,1.591,0.9412,1
1.23,1.676,0.9102,1
1.08,1.718,0.9383,1
1.09,1.811,0.9345,1
1.23,1.694,0.9122,1
1.09,1.66,0.9326,1
1.22,2.02,0.9115,1
1.09,1.906,0.9188,1
1.08,1.573,0.9327,1
1.09,2.504,0.9168,1
1.09,1.682,0.9132,1
1.09,1.623,0.8951,1
1.08,1.195,0.9297,1
1.08,1.413,0.9317,1
1.09,1.809,0.9639,1
1.23,1.742,0.8957,1
1.09,1.984,0.8896,1
1.09,2.47,0.9322,1
1.08,1.839,0.9366,1
1.1,1.676,0.9179,1
1.22,1.651,0.9332,1
1.22,1.689,0.9141,1
1.09,1.898,0.9221,1
1.09,1.74,0.8966,1
1.09,1.774,0.9392,1
1.24,2.161,0.8925,1
1.08,1.335,0.9316,1
1.09,1.896,0.8947,1
1.22,1.735,0.9178,1
1.31,1.697,0.8746,1
1.1,1.784,0.8925,1
1.22,2.198,0.9119,1
1.09,1.81,0.902,1
1.09,1.587,0.907,1
1.22,1.69,0.9127,1
1.24,1.653,0.9018,1
1.22,1.811,0.8974,1
1.08,1.749,0.9001,1
1.08,1.6,0.9089,1
1.22,1.403,0.9398,1
1.22,1.6,0.9383,1
1.22,1.799,0.9494,1
1.08,1.559,0.9334,1
1.22,1.676,0.9033,1
1.09,1.319,0.953,1
1.22,1.679,0.9105,1
1.22,1.705,0.894,1
1.08,1.54,0.9523,1
1.22,1.749,0.9322,1
1.09,1.587,0.9293,1
1.24,1.643,0.891,1
1.23,2.394,0.9228,1
1.08,1.518,0.9577,1
1.1,2.237,0.8921,1
1.09,1.907,0.9414,1
1.09,1.597,0.9095,1
1.22,1.681,0.9174,1
1.08,1.485,0.9323,1
1.07,1.58,0.9411,1
1.23,1.59,0.9129,1
1.08,1.609,0.9254,1
1.08,1.553,0.9586,1
1.09,1.595,0.9153,1
1.23,1.981,0.9084,1
1.21,2.456,0.9123,1
1.09,1.996,0.9084,1
1.22,1.799,0.8934,1
1.09,1.607,0.9023,1
1.23,1.697,0.903,1
1.17,2.355,0.8917,1
1.09,1.394,0.9189,1
1.31,1.81,0.8892,1
1.09,1.911,0.925,1
1.09,1.767,0.9298,1
1.22,1.71,0.8962,1
1.08,1.591,0.941,1
1.24,1.739,0.8914,1
1.09,2.031,0.913,1
1.09,2.528,0.9032,1
1.22,1.696,0.8925,1
1.12,1.609,0.9211,1
1.1,1.647,0.909,1
1.09,1.566,0.9414,1
1.22,1.73,0.9069,1
1.09,1.474,0.9495,1
1.09,1.629,0.9174,1
1.12,1.601,0.8747,1
1.09,1.896,0.9131,1
1.24,1.717,0.9153,1
1.09,1.798,0.9073,1
1.09,1.64,0.9207,1
1.09,1.481,0.8977,1
1.24,1.68,0.897,1
1.09,1.798,0.9515,1
1.08,1.549,0.9465,1
1.09,1.566,0.9527,1
1.08,1.53,0.9156,1
1.09,1.621,0.9038,1
1.22,1.697,0.9149,1
1.1,1.675,0.8999,1
1.23,1.731,0.9085,1
1.09,1.649,0.9603,1
1.1,1.565,0.8956,1
1.24,1.71,0.8899,1
1.21,1.914,0.9205,1
1.31,1.78,0.8844,1
1.09,1.617,0.9513,1
1.24,1.62,0.9018,1
1.09,1.848,0.9135,1
1.09,1.608,0.9118,1
1.08,1.653,0.95,1
1.11,1.629,0.8989,1
1.09,1.537,0.8739,1
1.22,1.837,0.951,1
1.12,1.6,0.898,1
1.1,1.662,0.8962,1
1.21,1.732,0.9082,1
1.22,1.729,0.9281,1
1.22,1.684,0.9007,1
1.31,1.985,0.8915,1
1.18,1.815,0.8747,1
1.21,1.95,0.9364,1
1.22,1.526,0.9008,1
1.22,1.67,0.9123,1
1.09,2.359,0.9434,1
1.22,1.677,0.9212,1
1.21,1.849,0.9344,1
1.09,1.596,0.9173,1
1.12,1.691,0.9705,1
1.1,1.813,0.9806,1
1.09,1.7,0.9766,1
1.08,1.245,0.9632,1
1.08,0.9204,0.9088,1
1.07,0.6053,0.9183,1
0.92,0.5942,0.9378,1
0.9,0.3644,0.9348,1
1.41,2.234,0.8911,1
1.42,2.296,0.9133,1
1.48,2.448,0.8471,1
1.49,2.396,0.872,1
1.49,1.722,0.8037,1
1.48,2.456,0.8169,1
1.48,2.009,0.7405,1
1.47,2.006,0.6982,1
1.46,2.253,0.7495,1
1.45,2.1,0.7383,1
1.46,2.226,0.7766,1
1.47,2.229,0.7941,1
1.61,2.417,0.7756,1
1.61,2.375,0.8109,1
1.44,2.109,0.8121,1
1.45,1.731,0.8471,1
1.43,1.706,0.8479,1
1.59,1.72,0.8377,1
1.42,1.703,0.8757,1
1.41,2.179,0.8685,1
1.42,1.782,0.8899,1
1.41,2.167,0.9177,1
1.21,1.704,0.9263,1
1.22,1.775,0.8943,1
1.09,1.972,0.9723,1
1.09,2.261,0.9309,1
1.08,1.715,0.9263,1
1.09,1.745,0.954,1
1.09,1.649,0.9368,1
1.09,1.739,0.9228,1
1.21,1.713,0.9127,1
1.08,1.692,0.9214,1
1.22,1.711,0.9195,1
1.23,1.925,0.9117,1
1.23,1.834,0.9046,1
1.23,1.688,0.8935,1
1.22,1.668,0.9174,1
1.24,2.355,0.8977,1
1.22,1.672,0.9289,1
1.09,1.576,0.9465,1
1.08,1.602,0.9451,1
1.24,1.701,0.8951,1
1.1,1.572,0.9046,1
1.22,2.464,0.9054,1
1.09,1.761,0.9591,1
1.09,2.539,0.894,1
1.18,1.7,0.8977,1
1.31,1.834,0.8929,1
1.09,2.399,0.9446,1
1.22,1.942,0.9031,1
1.22,2.388,0.8963,1
1.12,1.339,0.9082,1
1.12,1.494,0.8867,1
1.09,1.945,0.9204,1
1.21,1.684,0.9271,1
1.08,1.605,0.9231,1
1.09,1.595,0.9378,1
1.1,1.623,0.9235,1
1.1,1.49,0.9125,1
1.1,1.674,0.916,1
1.09,1.906,0.9153,1
1.22,2.236,0.9025,1
1.08,1.611,0.9233,1
1.08,1.642,0.9508,1
1.2,1.362,0.9425,1
1.08,1.383,0.936,1
1.1,1.692,0.9031,1
1.08,1.86,0.9558,1
1.22,1.758,0.8844,1
1.23,1.649,0.919,1
1.24,2.16,0.893,1
1.1,2.455,0.9617,1
1.09,1.602,0.9295,1
1.22,2.333,0.9022,1
1.23,1.779,0.8703,1
1.21,1.973,0.8818,1
1.1,1.598,0.911,1
1.22,2.432,0.9077,1
1.21,1.743,0.9046,1
1.09,1.832,0.9418,1
1.09,2.428,0.9681,1
0.91,1.791,0.7898,1
0.9,1.652,0.7318,1
1.22,1.921,0.6962,1
1.1,2.084,0.9121,1
1.09,1.919,0.9111,1
1.31,2.031,0.8587,1
1.22,1.843,0.9338,1
1.21,1.519,0.9475,1
1.22,2.469,0.8959,1
1.08,1.621,0.8981,1
1.09,2.512,0.9224,1
1.22,2.537,0.9263,1
1.09,1.6,0.915,1
1.1,2.487,0.8861,1
1.09,1.246,0.9233,1
1.09,1.832,0.9429,1
1.21,1.675,0.9247,1
1.21,1.725,0.9196,1
1.11,1.556,0.8858,1
1.22,1.718,0.8937,1
1.1,1.784,0.9066,1
1.1,1.598,0.9056,1
1.22,1.658,0.9158,1
1.09,1.685,0.9076,1
1.09,1.552,0.9386,1
1.1,1.592,0.9275,1
1.09,1.828,0.9396,1
1.21,1.597,0.9008,1
1.21,1.855,0.9324,1
1.24,1.679,0.9027,1
1.21,1.704,0.9154,1
1.11,2.53,0.8866,1
1.09,1.598,0.9385,1
1.24,1.907,0.8873,1
1.08,1.322,0.8987,1
1.08,1.604,0.9649,1
1.09,1.811,0.955,1
1.22,1.772,0.928,1
1.22,1.718,0.9078,1
1.22,1.653,0.9418,1
1.08,1.576,0.9227,1
1.22,1.664,0.9024,1
1.23,1.972,0.9112,1
1.22,2.505,0.9223,1
1.09,1.884,0.9348,1
1.22,2.281,0.9176,1
1.22,1.715,0.9123,1
1.22,2.528,0.934,1
1.1,1.581,0.9078,1
1.1,1.607,0.9335,1
1.08,2.009,0.9113,1
1.22,1.743,0.9142,1
1.09,1.571,0.9184,1
1.09,1.463,0.9375,1
1.09,1.947,0.8825,1
1.08,1.955,0.9285,1
1.22,1.645,0.9048,1
1.09,1.886,0.9137,1
1.09,1.613,0.9202,1
1.22,1.634,0.9043,1
1.08,1.26,0.9499,1
1.1,1.638,0.9079,1
1.23,1.759,0.8884,1
1.23,2.11,0.9102,1
1.08,1.737,0.9345,1
1.09,1.242,0.9603,1
0.91,1.791,0.8559,1
0.92,1.349,0.8589,1
0.9,1.136,0.9114,1
1.1,1.128,0.9539,1
1.09,1.977,0.8981,1
1.09,2.007,0.9183,1
1.09,1.787,0.9365,1
1.08,1.609,0.9503,1
1.09,1.565,0.9467,1
1.08,1.665,0.9573,1
1.23,1.706,0.928,1
1.21,1.375,0.9135,1
1.1,2.442,0.914,1
1.08,2.391,0.9545,1
1.23,2.075,0.9025,1
1.09,1.877,0.9171,1
1.12,1.62,0.8712,1
1.22,1.503,0.9223,1
1.09,1.754,0.9444,1
1.09,1.942,0.9019,1
1.09,1.255,0.9452,1
1.22,2.286,0.9199,1
1.09,1.883,0.9125,1
1.1,1.572,0.94,1
1.08,1.563,0.8758,1
1.23,1.731,0.9042,1
1.23,2.267,0.9093,1
1.1,2.15,0.9108,1
1.12,1.621,0.9267,1
1.09,1.864,0.9347,1
1.09,1.644,0.9431,1
1.09,1.631,0.9681,1
1.1,1.932,0.927,1
1.1,2.041,0.9431,1
1.08,1.89,0.9224,1
1.22,2.143,0.8934,1
1.09,2.336,0.9328,1
1.21,1.777,0.9426,1
1.1,1.774,0.9267,1
0.96,1.544,0.9376,1
1.09,1.43,0.9761,1
1.1,1.706,0.8931,1
1.22,1.637,0.8998,1
1.1,1.621,0.9012,1
1.09,1.722,0.94,1
1.09,1.674,0.9091,1
1.08,1.92,0.9309,1
1.08,1.597,0.9404,1
1.09,2.159,0.9437,1
1.09,1.659,0.9026,1
1.09,1.912,0.9395,1
1.09,1.55,0.8867,1
1.08,1.548,0.922,1
1.21,1.65,0.9068,1
1.09,1.555,0.9035,1
1.22,1.689,0.913,1
1.22,1.322,0.9365,1
1.09,1.595,0.8961,1
1.09,1.9,0.9164,1
1.23,1.736,0.8876,1
1.21,1.77,0.9504,1
1.1,1.701,0.9203,1
1.08,1.623,0.9339,1
1.22,1.715,0.91,1
1.23,1.762,0.8914,1
1.09,2.431,0.882,1
1.08,1.809,0.8869,1
1.09,1.887,0.9386,1
1.09,2.519,0.9459,1
1.09,1.987,0.9314,1
1.08,1.993,0.9295,1
1.24,1.337,0.9035,1
1.21,2.032,0.9218,1
1.12,2.022,0.8839,1
1.22,1.757,0.9319,1
1.09,1.857,0.9068,1
1.09,1.928,0.933,1
1.24,2.217,0.8895,1
1.08,1.957,0.9352,1
1.09,2.201,0.8949,1
1.22,1.732,0.9053,1
1.08,1.843,0.9504,1
1.09,1.608,0.9197,1
1.09,1.601,0.9121,1
1.1,1.657,0.9571,1
1.22,1.684,0.916,1
1.22,1.353,0.9329,1
1.23,1.658,0.9026,1
1.23,1.695,0.903,1
1.12,1.634,0.9236,1
1.09,1.928,0.9111,1
1.1,2.016,0.9163,1
1.08,1.599,0.9241,1
1.22,1.705,0.9136,1
1.09,1.39,0.9155,1
1.22,2.482,0.9217,1
1.09,1.598,0.9222,1
1.1,1.6,0.9244,1
1.09,1.659,0.8964,1
1.1,1.767,0.9154,1
1.09,2.203,0.9473,1
1.22,1.809,0.9458,1
1.31,2.013,0.8815,1
1.09,1.874,0.9052,1
1.22,1.738,0.8994,1
1.1,1.777,0.9407,1
1.23,1.669,0.908,1
1.24,1.705,0.8956,1
1.31,1.803,0.8933,1
1.09,2.491,0.9432,1
1.21,1.329,0.9564,1
1.22,2.105,0.8957,1
