 Length, Height, Width, Eigenentropy, Anisotropy, Surface Variation, Verticality, Class
1.619,1.22,1.479,0.7165,-3.033,0.6529,0.8395,1
1.204,1.09,1.693,0.7509,-2.869,0.6077,0.8257,1
1.34,1.22,1.834,0.8134,-2.85,0.5862,0.9146,1
1.364,1.12,1.661,0.7906,-3.461,0.6102,0.9165,1
1.45,1.18,1.944,0.804,-4.02,0.5975,0.9186,1
2.448,1.09,1.6,0.8402,-4.007,0.6225,0.9147,1
1.912,1.09,1.251,0.7945,-3.639,0.5956,0.9246,1
1.457,1.23,1.767,0.8201,-3.285,0.585,0.9575,1
1.24,1.09,1.856,0.7971,-3.841,0.5998,0.949,1
2.214,1.22,1.662,0.8578,-3.496,0.5934,0.9108,1
2.484,1.22,1.696,0.8647,-3.688,0.5939,0.9054,1
1.925,1.1,1.65,0.7664,-4.305,0.6209,0.9101,1
1.957,1.08,1.55,0.7834,-3.453,0.6159,0.9163,1
2.46,1.08,1.601,0.8302,-4.344,0.6291,0.9164,1
1.945,1.09,1.344,0.7887,-3.506,0.611,0.9419,1
1.682,1.22,2.533,0.8535,-3.992,0.6072,0.9047,1
1.317,1.1,1.961,0.7879,-3.535,0.6169,0.9353,1
1.945,1.09,1.827,0.8003,-3.763,0.597,0.9283,1
2.368,1.09,1.607,0.843,-4.167,0.6266,0.9015,1
2.487,1.21,1.639,0.854,-4.086,0.6085,0.9296,1
1.781,1.22,2.526,0.8595,-3.999,0.6114,0.8954,1
1.879,1.09,2.254,0.8437,-4.184,0.6264,0.8972,1
2.297,1.24,1.646,0.8606,-3.797,0.6,0.8957,1
1.769,1.1,1.63,0.7736,-3.915,0.6233,0.9112,1
2.045,1.22,1.882,0.8575,-3.958,0.6124,0.8974,1
1.727,1.09,1.591,0.7824,-3.625,0.6056,0.9412,1
2.207,1.23,1.676,0.855,-3.787,0.5945,0.9102,1
1.272,1.08,1.718,0.784,-3.52,0.605,0.9383,1
1.807,1.09,1.811,0.7924,-4.059,0.6066,0.9345,1
2.511,1.23,1.694,0.8606,-3.915,0.6009,0.9122,1
1.568,1.09,1.66,0.7848,-3.367,0.6047,0.9326,1
1.984,1.22,2.02,0.8549,-3.792,0.6047,0.9115,1
2.43,1.09,1.906,0.8358,-4.36,0.6097,0.9188,1
1.932,1.08,1.573,0.7844,-3.759,0.6154,0.9327,1
1.542,1.09,2.504,0.8396,-4.344,0.6188,0.9168,1
1.755,1.09,1.682,0.7965,-3.857,0.6074,0.9132,1
1.737,1.09,1.623,0.7914,-3.381,0.6173,0.8951,1
1.858,1.08,1.195,0.7881,-3.393,0.6076,0.9297,1
1.635,1.08,1.413,0.788,-3.245,0.5996,0.9317,1
1.502,1.09,1.809,0.7941,-3.883,0.5973,0.9639,1
2.53,1.23,1.742,0.8522,-4.077,0.61,0.8957,1
1.373,1.09,1.984,0.7844,-3.397,0.617,0.8896,1
1.394,1.09,2.47,0.7511,-5.538,0.7253,0.9322,1
1.608,1.08,1.839,0.7797,-3.598,0.6111,0.9366,1
1.271,1.1,1.676,0.7708,-3.961,0.6172,0.9179,1
1.581,1.22,1.651,0.8049,-2.848,0.5946,0.9332,1
2.471,1.22,1.689,0.8576,-3.97,0.6079,0.9141,1
1.42,1.09,1.898,0.8051,-4.001,0.6114,0.9221,1
2.249,1.09,1.74,0.8235,-4.289,0.6195,0.8966,1
1.593,1.09,1.774,0.7969,-3.902,0.5969,0.9392,1
1.639,1.24,2.161,0.8661,-3.623,0.5969,0.8925,1
1.706,1.08,1.335,0.788,-3.223,0.6017,0.9316,1
2.011,1.09,1.896,0.8226,-4.592,0.6269,0.8947,1
2.518,1.22,1.735,0.8571,-3.721,0.5951,0.9178,1
2.431,1.31,1.697,0.8663,-4.005,0.6061,0.8746,1
2.178,1.1,1.784,0.8125,-4.681,0.6314,0.8925,1
1.627,1.22,2.198,0.8602,-3.723,0.6013,0.9119,1
1.246,1.09,1.81,0.7877,-3.338,0.6146,0.902,1
1.761,1.09,1.587,0.7893,-3.378,0.6145,0.907,1
2.433,1.22,1.69,0.8581,-3.813,0.5967,0.9127,1
2.487,1.24,1.653,0.8587,-3.612,0.603,0.9018,1
2.268,1.22,1.811,0.8592,-3.771,0.5984,0.8974,1
1.884,1.08,1.749,0.7903,-3.828,0.6044,0.9001,1
2.307,1.08,1.6,0.8279,-3.759,0.6139,0.9089,1
1.858,1.22,1.403,0.8113,-3.417,0.5844,0.9398,1
1.528,1.22,1.6,0.8097,-2.904,0.5924,0.9383,1
1.665,1.22,1.799,0.8118,-3.426,0.5913,0.9494,1
1.934,1.08,1.559,0.7887,-3.205,0.6009,0.9334,1
2.324,1.22,1.676,0.8607,-3.565,0.5897,0.9033,1
1.85,1.09,1.319,0.7953,-4.104,0.6029,0.953,1
2.164,1.22,1.679,0.8609,-3.678,0.6001,0.9105,1
2.472,1.22,1.705,0.8582,-3.982,0.612,0.894,1
