120,4,Clase 1,Clase 2,Clase 3
72,215,167.8,748.9,1
62,223,171.9,796,1
72,216,166.4,971.9,1
39,225,168.3,863.3,1
72,216,170.7,743.2,1
72,215,170.4,802.8,1
64,215,167.4,998.7,1
72,216,166.9,843.9,1
72,226,169.6,783,1
72,215,170.5,694.9,1
72,223,166.9,908.3,1
86,215,169.6,688.4,1
43,228,168,977.5,1
72,214,171.2,742.9,1
72,223,172,729,1
62,214,166.3,1060.4,1
72,214,168,758.3,1
72,218,166.6,883.3,1
62,216,170.2,847.5,1
40,226,166.9,1022.1,1
72,231,167.4,828.4,1
62,216,166.3,1111.8,1
62,216,165.1,1056,1
62,215,165,1096.7,1
62,217,167.4,769.1,1
72,211,171,747.1,1
62,218,167.5,816.6,1
72,220,170.1,764.6,1
62,214,167,987.9,1
40,226,167.1,824.6,1
72,215,170.8,757.7,1
85,213,168.4,826.3,1
62,215,171.2,808.6,1
72,224,170,796.8,1
62,212,170.8,779.5,1
64,227,169.3,876.1,1
72,216,167.1,767.3,1
62,215,164.8,1161.5,1
72,213,168.8,908.7,1
64,217,166.9,1071.1,1
62,214,167.4,865.5,1
39,226,167.8,880.5,1
72,216,169.9,760.1,1
72,231,166.6,879.5,1
72,224,169.5,841.4,1
62,215,167.7,987.1,1
62,215,164.7,1182.9,1
62,215,167.3,945.6,1
72,227,170.1,784.3,1
87,218,170.3,642.7,1
33,227,166.5,888.8,1
43,224,168.2,923.1,1
56,214,168.3,997.6,1
72,227,170.2,830.3,1
72,223,167.7,851,1
62,215,166.9,1085.1,1
62,227,165.8,957.7,1
72,222,170,778.3,1
62,215,167.5,998.2,1
72,215,168.6,726.3,1
72,214,172.2,694,1
56,213,167.6,1060.7,1
62,217,167.4,913.3,1
72,226,169.7,834.8,1
72,224,171.7,712.6,1
68,227,169,881.4,1
72,221,169.1,715.1,1
86,223,169.2,707.5,1
72,216,167.9,799.7,1
62,223,165.5,992.4,1
72,223,167.3,866.1,1
62,216,163.7,1201.9,1
58,217,164.7,1118.2,1
62,215,167,945,1
72,226,170.6,815.8,1
72,219,170.5,724.9,1
72,220,170.9,746.6,1
51,222,167.8,884.8,1
72,217,168.6,665.2,1
62,214,166.3,1008.2,1
62,218,168.5,975.2,1
72,216,170.5,774.7,1
62,213,166.6,1024.5,1
72,214,168,943.9,1
62,214,164.3,1083,1
62,218,165.2,1087.6,1
72,223,167.6,800.6,1
62,216,166.8,926.5,1
62,231,166.3,865,1
87,223,169,635.4,1
72,226,168.8,760.6,1
68,228,169,851.1,1
87,217,169.2,605.2,1
62,216,164.3,1150.9,1
72,216,168.5,891.1,1
56,215,167.3,1003.9,1
87,217,168.3,656,1
62,215,170.6,797.2,1
72,228,169.9,804.7,1
62,217,167,888.2,1
72,215,168.3,839.1,1
86,215,168.2,709.6,1
72,223,172.4,716.5,1
56,226,168.2,878.4,1
62,215,169.3,772.6,1
86,215,167.5,698,1
62,215,167.3,897.9,1
87,215,169.2,574.8,1
72,226,169.5,802.3,1
86,218,169.8,632.9,1
64,227,167,923.8,1
72,225,168.4,823.5,1
62,212,167.5,979.6,1
72,222,169.4,782.6,1
72,215,170.1,784.8,1
62,217,167.6,991.6,1
62,215,170.1,866.8,1
62,217,168.7,881.9,1
72,226,169.7,739.5,1
67,224,168,891.2,1
