 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.619,1.22,1.479,0.3947,0.1064,0.7165,-3.033,1
1.204,1.09,1.693,0.413,0.1165,0.7509,-2.869,1
1.34,1.22,1.834,0.4872,0.1393,0.8134,-2.85,1
1.364,1.12,1.661,0.4741,0.131,0.7906,-3.461,1
1.45,1.18,1.944,0.4972,0.1353,0.804,-4.02,1
2.448,1.09,1.6,0.5824,0.157,0.8402,-4.007,1
1.912,1.09,1.251,0.4754,0.1314,0.7945,-3.639,1
1.457,1.23,1.767,0.5043,0.1418,0.8201,-3.285,1
1.24,1.09,1.856,0.4843,0.1326,0.7971,-3.841,1
2.214,1.22,1.662,0.5828,0.1621,0.8578,-3.496,1
2.484,1.22,1.696,0.6041,0.1667,0.8647,-3.688,1
1.925,1.1,1.65,0.4544,0.1213,0.7664,-4.305,1
1.957,1.08,1.55,0.4664,0.1286,0.7834,-3.453,1
2.46,1.08,1.601,0.5739,0.1525,0.8302,-4.344,1
1.945,1.09,1.344,0.4722,0.1303,0.7887,-3.506,1
1.682,1.22,2.533,0.5982,0.1624,0.8535,-3.992,1
1.317,1.1,1.961,0.4747,0.1304,0.7879,-3.535,1
1.945,1.09,1.827,0.4868,0.1338,0.8003,-3.763,1
2.368,1.09,1.607,0.5971,0.1598,0.843,-4.167,1
2.487,1.21,1.639,0.6031,0.1631,0.854,-4.086,1
1.781,1.22,2.526,0.6169,0.1672,0.8595,-3.999,1
1.879,1.09,2.254,0.599,0.1602,0.8437,-4.184,1
2.297,1.24,1.646,0.6029,0.1654,0.8606,-3.797,1
1.769,1.1,1.63,0.4615,0.1247,0.7736,-3.915,1
2.045,1.22,1.882,0.6117,0.166,0.8575,-3.958,1
1.727,1.09,1.591,0.462,0.1272,0.7824,-3.625,1
2.207,1.23,1.676,0.5855,0.1609,0.855,-3.787,1
1.272,1.08,1.718,0.4626,0.1279,0.784,-3.52,1
1.807,1.09,1.811,0.4835,0.131,0.7924,-4.059,1
2.511,1.23,1.694,0.607,0.1657,0.8606,-3.915,1
1.568,1.09,1.66,0.4616,0.1284,0.7848,-3.367,1
1.984,1.22,2.02,0.5938,0.1626,0.8549,-3.792,1
2.43,1.09,1.906,0.5698,0.1525,0.8358,-4.36,1
1.932,1.08,1.573,0.4715,0.1286,0.7844,-3.759,1
1.542,1.09,2.504,0.5854,0.1563,0.8396,-4.344,1
1.755,1.09,1.682,0.4874,0.133,0.7965,-3.857,1
1.737,1.09,1.623,0.4782,0.132,0.7914,-3.381,1
1.858,1.08,1.195,0.4681,0.1299,0.7881,-3.393,1
1.635,1.08,1.413,0.4622,0.1294,0.788,-3.245,1
1.502,1.09,1.809,0.4794,0.1312,0.7941,-3.883,1
2.53,1.23,1.742,0.5999,0.1622,0.8522,-4.077,1
1.373,1.09,1.984,0.4678,0.1291,0.7844,-3.397,1
1.394,1.09,2.47,0.542,0.128,0.7511,-5.538,1
1.608,1.08,1.839,0.4603,0.1266,0.7797,-3.598,1
1.271,1.1,1.676,0.4549,0.1232,0.7708,-3.961,1
